index,GRID_ID,score_lu,score_emp,score_est,score_ind,score_fac,fq
410,CJ-76,0.0,1.0,1.0,0.0,0.0,0.75
411,CK-76,0.0,1.0,2.0,0.0,0.0,1.0
412,CL-76,1.0,1.0,1.0,0.0,0.0,1.05
413,CM-76,1.0,1.0,0.0,0.0,0.0,0.8
414,CS-76,0.0,1.0,1.0,0.0,0.0,0.75
415,CT-76,0.0,1.0,1.0,1.0,0.0,1.25
416,G-75,0.0,0.0,0.0,0.0,0.0,0.0
417,J-75,1.0,1.0,0.0,0.0,2.0,1.8
418,AB-75,0.0,1.0,1.0,0.0,0.0,0.75
419,BG-75,1.0,0.0,0.0,0.0,0.0,0.3
420,BH-75,0.0,1.0,1.0,0.0,0.0,0.75
421,BI-75,0.0,1.0,1.0,0.0,0.0,0.75
422,BK-75,0.0,1.0,1.0,1.0,0.0,1.25
423,BL-75,0.0,0.0,0.0,0.0,0.0,0.0
424,BM-75,0.0,1.0,0.0,0.0,0.0,0.5
425,BR-75,0.0,1.0,2.0,0.0,0.0,1.0
426,BT-75,0.0,1.0,1.0,0.0,0.0,0.75
427,BW-75,1.0,1.0,1.0,0.0,0.0,1.05
428,BX-75,0.0,1.0,1.0,1.0,0.0,1.25
429,BY-75,0.0,1.0,2.0,1.0,0.0,1.5
430,CA-75,0.0,1.0,1.0,0.0,0.0,0.75
431,CB-75,0.0,1.0,1.0,0.0,0.0,0.75
432,CC-75,0.0,1.0,2.0,0.0,0.0,1.0
433,CE-75,0.0,1.0,1.0,0.0,0.0,0.75
434,CF-75,0.0,1.0,1.0,0.0,0.0,0.75
435,CG-75,0.0,1.0,2.0,1.0,0.0,1.5
436,CH-75,1.0,1.0,2.0,1.0,0.0,1.8
437,CI-75,1.0,1.0,1.0,0.0,0.0,1.05
438,CJ-75,0.0,1.0,1.0,0.0,0.0,0.75
439,CK-75,0.0,1.0,2.0,0.0,0.0,1.0
440,CL-75,2.0,1.0,0.0,0.0,0.0,1.1
441,CN-75,0.0,1.0,1.0,0.0,0.0,0.75
